"","Protein","channel1","channel10","channel11","channel12","channel13","channel14","channel15","channel16","channel2","channel3","channel4","channel5","channel6","channel7","channel8","channel9"
"5664","Q5VYS8-6;Q5VYS8;Q5VYS8-4",13.4805612461781,13.7273875708954,13.6889567622189,13.8874138205612,13.5234446900603,13.6879211573605,13.6460928502902,13.5536211861869,13.3781767675046,13.5901705737344,13.3280868161599,13.5081845714769,13.3508926869367,13.3280915443523,13.6628117857221,13.6653714615732
"5665","Q5VYS8-6;Q5VYS8;Q5VYS8-4;Q5VYS8-5;Q5VYS8-3;Q5VYS8-2",12.7262009301304,12.9932288341236,13.3112244195921,13.5514258901323,13.1454215816465,13.3301876736365,12.8828880689649,13.2093337767145,12.6704196384237,12.6203951238566,13.0956408819808,12.8640208694123,12.5137115598302,12.7222460109614,13.1621565328927,13.559911438907
"5666","Q5VYS8-6;Q5VYS8;Q5VYS8-5;Q5VYS8-3;Q5VYS8-2",12.9220688363301,12.5744507639472,12.7612086749702,12.7068865843471,12.7090877163836,12.5868673767241,12.482676855202,12.5994407270981,13.1511408332896,12.8610847887037,12.5923197423783,12.8695295233545,12.6617649336682,12.7224202810638,12.7940808092022,12.8864920950915
"5667","Q5VYV7",12.5088414941781,12.4763277661918,12.7883397805321,12.9576583308933,12.4060071564858,12.364775335376,12.4735900777059,12.5134193111816,12.3239429269222,12.6393384062754,12.4890107665641,12.5381994577526,11.876693989632,12.0941533927298,12.2636451303822,12.021841341617
"5668","Q5VZ89-3;Q5VZ89;Q5VZ89-7",14.075809967062,14.2222259810557,14.3338432846847,14.3460194055104,14.3578379549306,14.2495884879933,14.4241856511786,14.4528548682193,14.1431271022758,14.2547191516927,14.2279178781312,14.0451260500783,13.9714994306023,14.1502233321651,14.1062761275162,14.2268736434466
"5669","Q5VZ89-3;Q5VZ89;Q5VZ89-7;Q5VZ89-5",14.1777728863414,14.6433305885182,14.6143239508254,14.6457944445906,14.6112692240464,14.692634136292,14.6038341574584,14.7386079186395,14.3417344109363,14.1337469502459,14.2151568329153,14.0402033293161,14.2948638299313,14.105637147504,14.1662844185154,14.619988370578
"5670","Q5VZE5",15.6332631752072,15.2206160621774,15.1400861932113,15.309415325992,15.2660558137325,15.1321831982933,15.1527720721761,15.2646766184255,15.4741381192147,15.542440742218,15.5117118731907,15.4849929145901,15.251653308311,15.4214881606075,15.3560308416272,15.1548036576628
"5671","Q5VZE5;Q5VZE5-2",15.1865132396692,14.3487703890097,14.6089657184798,14.581232252975,14.5985114008279,14.5025759991048,14.5796322786587,14.487035836458,14.7479234501172,14.8300689515313,14.5860428805748,14.8823210808367,14.5061505954769,15.0034444226017,14.6365508745526,14.679608072975
"5672","Q5VZF2-3;Q5VZF2-2;Q5VZF2",13.5524300234227,13.5986300937327,13.5506722072912,13.4319220844377,13.741628908633,13.5807677347549,13.413664899028,13.297494945708,13.3709871407981,13.3914687276664,13.6920002489785,13.683322620684,13.5716961927991,13.6714628905408,13.5962682564582,13.3615486388474
"5673","Q5VZK9",15.2908611481023,15.2529225707379,15.2607086414647,15.2619972327676,15.232068081047,15.1835067653916,15.215764364179,15.2614382713494,15.1881952933705,15.3721657772255,15.0962970773442,15.3789451419002,15.3194936016598,15.2804111587483,15.1527639460572,15.1769063763156
"5674","Q5VZK9;Q5VZK9-2",15.0349782373346,15.1885427586013,15.1019768438643,15.095181807277,15.1007234048406,15.1271789849113,15.1781611829218,15.1865926254633,14.9075659906805,14.9708665719087,14.8376913737293,15.07525440174,14.9536059746245,15.0199837464995,14.7930939111081,14.9535348696589
"5675","Q5VZK9;Q5VZK9-2;Q5VZK9-3",15.8946509662196,15.8894868530165,15.95728414828,15.9156142822638,15.9566294339988,15.9524702293621,15.9608431811705,15.9751906795119,15.7933346374771,15.7363042915672,15.7565721698534,15.7585611696917,15.8669908535044,15.8248977391663,15.7699257166442,15.7560927562423
"5676","Q5VZK9;Q5VZK9-2;Q5VZK9-3;Q5VZK9-4",16.4611228154646,16.7482834031024,16.8366097467569,16.7889495865457,16.779905241672,16.7130227287183,16.842918995705,16.8317696735814,16.2185517685976,16.2225173115706,16.0972369987218,16.2351285853088,16.1061520741448,16.3125577118974,15.9279642802429,16.4795924833536
"5677","Q5VZL5-2;Q5VZL5-4;Q5VZL5",14.1279023334421,14.8675185235163,14.9148041762429,15.002510225462,14.875873387143,14.9485381673709,15.0216114537415,14.9238303502734,14.1965784979009,14.4028060751671,14.2368258765507,14.3520192681663,14.2766950657048,14.2909816879876,14.2402849999592,14.826853473791
"5678","Q5VZM2-2;Q5VZM2",15.4800235800115,15.3219077077512,15.3626214344301,15.3863316649175,15.5125184606628,15.5419187981785,15.3543699227121,15.4439943278327,15.5355163971457,15.1848813413538,15.3958257617722,15.2861664901726,15.3415401563051,15.3758982943692,15.2509625525597,15.3831645878127
"5679","Q5W0B1",13.6365161816904,14.586881801217,14.7937636254358,14.7320023634801,14.7987448679641,14.8169080573102,14.6881664183558,14.7537949344285,13.9068865936794,13.7339158991757,13.8819411187079,13.9404076788126,13.7328119176604,13.9836674196183,13.9054428621253,14.615754715486
"5680","Q5W0V3-2;Q5W0V3",16.1682122180279,16.1010287669139,16.13669740116,16.1422672476374,16.0784639630735,16.0771353621372,16.1205153222063,16.0700041959414,15.8938593093717,15.9602110533877,15.930878831422,15.9000765414584,15.8754185474873,16.1702232271679,15.9545591628461,16.0271095865017
"5681","Q5W0Z9",15.9093068675793,16.2176613714008,16.3297032721483,16.3416425636114,16.0387245158639,16.0361843686501,16.1942530283075,16.2935490507523,16.0332792150604,16.2022110438746,16.0543698899176,16.0933953135464,16.1140398654204,16.0948392412894,16.0642284143455,15.9907117909601
"5682","Q5W0Z9;Q5W0Z9-4;Q5W0Z9-3",15.6840184589892,15.6926434389643,15.5706751561829,15.7090516600143,15.602555756709,15.5535778291692,15.625970865232,15.6629046305582,15.8706110657585,15.6440819145215,15.9630276305614,15.5952983900094,15.927562011515,15.786810090389,15.7917717210152,15.5916183015802
"5683","Q5W0Z9;Q5W0Z9-4;Q5W0Z9-3;Q5W0Z9-2",16.4893397761949,16.3386175792366,16.4252688591512,16.2897478424646,16.342462631043,16.2585558357341,16.2288501525142,16.2310524422072,16.3042417690883,16.5579357737639,16.2602564129296,16.480415857398,16.5368114428153,16.5902910833152,16.3952990492812,16.1379592634086
"5684","Q5W111",16.5189075159341,16.2088193064534,16.2294545102875,16.3738828262018,16.2303982388736,16.2300995128106,16.1839363391178,16.2424296601,16.5290250980405,16.3306426184204,16.4550510529902,16.3968609505872,16.4668256632921,16.4628529571073,16.3252385846499,16.2180697236329
"5685","Q5W111;Q5W111-2",15.2315574064622,15.2727579602212,15.4877626316826,15.5202539030383,15.5304252421463,15.3225443684312,15.4413469839526,15.5423404469233,15.1730259149777,15.1925656963876,15.1805782443341,15.2828490308354,15.4217134459005,15.3224714463872,15.2726881575982,15.3084569545114
"5686","Q5XKK7",11.5344185908285,10.7493792992633,11.5077187360163,10.8576879932482,11.7739394560916,11.1596284600288,10.9833973452143,11.5410690577878,11.496066179432,11.4288691208325,11.2414611957096,11.6811616069126,11.5891777731864,12.0346970363896,11.6638708540255,11.4458970515406
"5687","Q5XKK7;Q5XKK7-2;Q5XKK7-3",14.7141257903503,14.1657203523479,14.0775405086188,14.0685643748849,14.0793365617858,13.9930456393156,14.1186026788022,14.4759890101228,14.4500324681433,14.84823526862,14.473785829707,14.5879776172707,14.863032602157,14.6140113687338,14.325126788367,14.0079907493947
"5688","Q5XKP0",16.1348313683308,15.6316249302871,15.5963799634837,15.743599779502,15.6742232657594,15.7259605553397,15.5918669837212,15.6976310384231,15.8411178472479,16.2649611203743,16.1247422990521,16.1586759533323,15.9659080375947,16.0732561040804,15.9080208477172,15.6965659167439
"5689","Q5XUX1;Q5XUX1-2",13.9503527104697,13.4005198274384,13.4891634238478,13.4422696595168,13.4206532685851,13.5901014835034,13.3225037628063,13.4178592635883,13.7561562785509,13.9148938667563,13.7525925446954,14.0247594447282,13.5967359511074,13.8873787548693,13.8758579170631,13.4964963195847
"5690","Q5ZPR3;Q5ZPR3-2",16.9671117757864,16.751542553815,16.7767779857827,16.6930594932781,16.7996502203032,16.9569304707096,16.8681789481067,16.6604135812603,16.7657306166887,16.8379226092945,16.5407603854215,16.7182320714665,16.8208216339515,16.7561771306422,16.4828947641651,16.60401354429
"5691","Q5ZPR3;Q5ZPR3-2;Q5ZPR3-4",16.7087820753747,16.6289825482841,16.6060891721513,16.6222521616187,16.5746495121369,16.6737430015394,16.6468814299197,16.6570370982866,16.6284626987817,16.7843119484473,16.4513384094727,16.7684648055082,16.8158164684688,16.5455752907709,16.7122647462512,16.6183904722942
"5692","Q5ZPR3;Q5ZPR3-2;Q5ZPR3-4;Q5ZPR3-3",15.7114270258702,15.6428858010956,15.7065767973496,15.6862036347318,15.7950758784109,15.7575576567225,15.6262386134874,15.648825606985,15.726098640909,15.8487564152057,15.6910028540269,15.9786955449854,15.89223953998,15.7190204911192,15.6749771350024,15.5934506746762
"5693","Q5ZPR3;Q5ZPR3-4;Q5ZPR3-3",16.1251195353655,15.7038582864802,15.6507252076314,15.4725034057281,15.7935740957269,15.4914329193864,15.6017247657634,15.5519460257736,16.1356154276155,15.9662839384137,16.1271757844993,16.106200940342,16.073408964467,15.9470390169001,15.9683402553083,15.6864137545242
"5694","Q63HN8;Q63HN8-4",13.8469313549709,13.8201262905829,13.7961675888208,13.9013266377776,13.8730826907012,13.8034606745343,13.7730826802985,13.8714145038624,14.0168079958447,13.9285984002054,14.0804852121096,13.8115674653186,13.8118678415305,13.8449832740488,14.0689401138499,13.8495214715775
"5695","Q63HN8;Q63HN8-4;Q63HN8-5",13.661018709011,13.8804016066051,13.7876213539679,14.0032157595375,13.9271708063397,14.0804195773301,13.9816100205845,13.968032948979,14.0142495900139,14.0046389476902,13.9528687450295,13.845152505165,13.88006387278,14.0625126929913,14.0560310844879,13.8188156583794
"5696","Q63HN8;Q63HN8-4;Q9NQ89",18.9451003643101,19.5087383878126,19.7560280548199,19.6406133406227,19.3669259870707,19.3700902571322,19.3707548224077,19.5581051603819,19.0631326501293,19.2435470115379,19.0011075419554,19.1301398849577,18.9903651291919,18.8313525486291,19.0679346842346,19.5412213703387
"5697","Q63HQ0",14.9482084325009,14.8219141539591,14.7675398267599,14.793338916382,14.7413592581243,14.6733037557261,14.7149486675394,14.6008292061353,14.9316841401932,14.8650385862593,14.788981070425,14.8872644968682,14.8562830763667,14.7112561590444,14.6942396185848,14.8008438352886
"5698","Q63HQ0;Q63HQ0-2",13.264017848914,13.0290388056366,13.3280021227793,12.9375405805136,12.9001993667318,13.0008464704185,13.2479289514787,13.2147040926871,13.1407194171873,13.3365067431007,13.1375495467253,13.1811868643154,13.2188446778545,13.39947082558,13.0525551235875,13.2036535107383
"5699","Q63ZY3-3;Q63ZY3",11.5576482250351,12.8426973514302,12.8393490419614,12.9305870619821,12.9422213929095,12.9323939835632,13.1375486229658,12.9989772951857,12.0708309221754,11.3310357738278,12.1470109075614,12.1642979743229,12.2989184965826,12.1508029631751,12.0904176508581,13.1722059215994
"5700","Q63ZY3-3;Q63ZY3;Q63ZY3-2",14.6191625499136,15.0329819390076,15.1659201316551,15.1114640535104,15.1099236252019,15.1875049381253,15.2013855654917,15.1094021343646,14.7339359728506,14.7338416733293,14.7361000306689,14.7876712911562,14.7391294722161,14.7499730371459,14.869284731387,15.0974214927843
"5701","Q63ZY3-3;Q63ZY3;Q63ZY3-2;Q5T7N3",13.5308859389836,14.9923122328889,15.1518136868023,15.1140311353276,15.1785694881701,15.5342278591272,15.2833127522513,15.1205682761965,13.9287781224063,13.780444837896,14.2180419475752,13.5809193497476,13.8032324343843,13.5511986415056,14.1910910965823,15.3082631735966
